ANIMAL INGRESADO,MOTIVO,AÑO
Otro,Otro,2019
Otro,Otro,2019
Otro,Otro,2019
Otro,Otro,2019
Otro,Otro,2019
Otro,Otro,2019
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Ataque de perro,2020
Pudu,Otro,2020
Pudu,Otro,2020
Pudu,Otro,2020
Pudu,Otro,2020
Pudu,Otro,2020
Otro,Ataque de perro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Otro,Otro,2020
Pudu,Ataque de perro,2021
Pudu,Ataque de perro,2021
Pudu,Ataque de perro,2021
Pudu,Ataque de perro,2021
Pudu,Ataque de perro,2021
Pudu,Ataque de perro,2021
Pudu,Ataque de perro,2021
Pudu,Ataque de perro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Pudu,Otro,2021
Otro,Ataque de perro,2021
Otro,Ataque de perro,2021
Otro,Ataque de perro,2021
Otro,Ataque de perro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
Otro,Otro,2021
